AEROJAMPA 2021
1.0 0.0
0.9941546 0.0049277
0.9806761 0.0163908
0.9587562 0.0284709
0.9262982 0.0411281
0.8839594 0.0542836
0.832662 0.0675791
0.7735761 0.0806383
0.708103 0.0930726
0.6378217 0.104449
0.5644424 0.1144842
0.4899877 0.1231026
0.4169023 0.1300859
0.3474333 0.1345333
0.283109 0.1353846
0.2250023 0.1310564
0.1723899 0.1211669
0.1254326 0.1068379
0.0850711 0.0893874
0.0520186 0.0699498
0.0268837 0.0497539
0.0102963 0.0295578
0.0015604 0.010339
0.0004617 -0.0055974
0.0080441 -0.0141425
0.030197 -0.0157878
0.0657369 -0.0140814
0.1129403 -0.0094182
0.1701835 -0.001106
0.2385365 0.011543
0.3176282 0.0258053
0.4052794 0.0395291
0.4986345 0.0507617
0.5942666 0.0578146
0.6882699 0.0595865
0.7765133 0.0557048
0.8548787 0.0466027
0.9195274 0.0334796
0.9668298 0.0179924
0.9926552 0.0046329
1.0 0.0
